CHANNEL_0_1
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
0   1544.736459    0.000104  0.000059  ...  0.000012  7.644131e+06  1.734086e+09
1   1544.736527    0.000141  0.000057  ...  0.000012  7.649009e+06  1.734086e+09
2   1544.736351    0.000195  0.000057  ...  0.000012  7.656420e+06  1.734086e+09
3   1544.736329    0.000132  0.000059  ...  0.000012  7.656872e+06  1.734086e+09
4   1544.736274    0.000133  0.000060  ...  0.000012  7.649730e+06  1.734086e+09
5   1544.736228    0.000103  0.000057  ...  0.000012  7.650939e+06  1.734086e+09
6   1544.736273    0.000104  0.000058  ...  0.000012  7.657169e+06  1.734087e+09
7   1544.736198    0.000114  0.000061  ...  0.000012  7.646261e+06  1.734087e+09
8   1544.736287    0.000145  0.000057  ...  0.000012  7.647373e+06  1.734087e+09
9   1544.736306    0.000104  0.000059  ...  0.000012  7.661261e+06  1.734087e+09
10  1544.736362    0.000177  0.000059  ...  0.000012  7.644073e+06  1.734087e+09
11  1544.736362    0.000104  0.000058  ...  0.000012  7.653624e+06  1.734087e+09
12  1544.736396    0.000153  0.000058  ...  0.000012  7.645273e+06  1.734086e+09
13  1544.736352    0.000128  0.000058  ...  0.000012  7.644799e+06  1.734087e+09
14  1544.736346    0.000105  0.000059  ...  0.000012  7.658844e+06  1.734087e+09
15  1544.736310    0.000104  0.000058  ...  0.000012  7.651626e+06  1.734087e+09
16  1544.736328    0.000204  0.000059  ...  0.000012  7.645272e+06  1.734087e+09
17  1544.736302    0.000103  0.000058  ...  0.000012  7.651871e+06  1.734087e+09
18  1544.736324    0.000140  0.000061  ...  0.000012  7.653804e+06  1.734087e+09
19  1544.736358    0.000116  0.000058  ...  0.000012  7.651082e+06  1.734086e+09
20  1544.736407    0.000106  0.000060  ...  0.000012  7.661358e+06  1.734086e+09
21  1544.736347    0.000106  0.000058  ...  0.000012  7.653352e+06  1.734086e+09
22  1544.736416    0.000377  0.000059  ...  0.000012  7.645942e+06  1.734086e+09
23  1544.736409    0.000279  0.000058  ...  0.000012  7.649853e+06  1.734086e+09
24  1544.736296    0.000169  0.000058  ...  0.000012  7.650954e+06  1.734086e+09
25  1544.736382    0.000160  0.000058  ...  0.000012  7.650733e+06  1.734086e+09

[26 rows x 13 columns]
CHANNEL_0_2
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
0   1545.559406    0.000090  0.000014  ...  0.000012  7.762590e+06  1.734086e+09
1   1545.559370    0.000094  0.000015  ...  0.000012  7.711750e+06  1.734086e+09
2   1545.559266    0.000093  0.000015  ...  0.000012  7.741881e+06  1.734086e+09
3   1545.559295    0.000090  0.000014  ...  0.000012  7.746535e+06  1.734086e+09
4   1545.559422    0.000090  0.000014  ...  0.000012  7.713610e+06  1.734086e+09
5   1545.559390    0.000091  0.000014  ...  0.000012  7.758733e+06  1.734086e+09
6   1545.559463    0.000096  0.000016  ...  0.000012  7.780832e+06  1.734087e+09
7   1545.559369    0.000091  0.000014  ...  0.000012  7.766890e+06  1.734087e+09
8   1545.559416    0.000090  0.000014  ...  0.000012  7.767305e+06  1.734087e+09
9   1545.559413    0.000092  0.000014  ...  0.000012  7.767486e+06  1.734087e+09
10  1545.559453    0.000089  0.000014  ...  0.000012  7.763093e+06  1.734087e+09
11  1545.559516    0.000144  0.000033  ...  0.000012  7.386742e+06  1.734087e+09
12  1545.559557    0.000095  0.000015  ...  0.000012  7.759249e+06  1.734086e+09
13  1545.559565    0.000091  0.000014  ...  0.000012  7.759188e+06  1.734087e+09
14  1545.559325    0.000095  0.000015  ...  0.000012  7.753631e+06  1.734087e+09
15  1545.559379    0.000091  0.000014  ...  0.000012  7.766477e+06  1.734087e+09
16  1545.559290    0.000094  0.000015  ...  0.000012  7.769940e+06  1.734087e+09
17  1545.559456    0.000095  0.000015  ...  0.000012  7.756450e+06  1.734087e+09
18  1545.559433    0.000086  0.000013  ...  0.000012  7.764052e+06  1.734087e+09
19  1545.559581    0.000092  0.000014  ...  0.000012  7.753478e+06  1.734086e+09
20  1545.559488    0.000089  0.000014  ...  0.000012  7.778288e+06  1.734086e+09
21  1545.559518    0.000091  0.000014  ...  0.000012  7.761222e+06  1.734086e+09
22  1545.559309    0.000092  0.000015  ...  0.000012  7.753302e+06  1.734086e+09
23  1545.559495    0.000091  0.000014  ...  0.000012  7.769012e+06  1.734086e+09
24  1545.559294    0.000094  0.000015  ...  0.000012  7.753817e+06  1.734086e+09
25  1545.559268    0.000140  0.000032  ...  0.000012  7.410606e+06  1.734086e+09

[26 rows x 13 columns]
CHANNEL_0_3
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
0   1546.311524    0.000109  0.000049  ...  0.000012  7.612359e+06  1.734086e+09
1   1546.311478    0.000109  0.000048  ...  0.000012  7.595989e+06  1.734086e+09
2   1546.311187    0.000109  0.000048  ...  0.000012  7.600881e+06  1.734086e+09
3   1546.311178    0.000112  0.000050  ...  0.000012  7.595685e+06  1.734086e+09
4   1546.311181    0.000110  0.000049  ...  0.000012  7.595900e+06  1.734086e+09
5   1546.311149    0.000108  0.000048  ...  0.000012  7.603111e+06  1.734086e+09
6   1546.311193    0.000109  0.000048  ...  0.000012  7.601284e+06  1.734087e+09
7   1546.311035    0.000109  0.000047  ...  0.000012  7.594490e+06  1.734087e+09
8   1546.311208    0.000111  0.000050  ...  0.000012  7.592716e+06  1.734087e+09
9   1546.311211    0.000109  0.000048  ...  0.000012  7.610527e+06  1.734087e+09
10  1546.311126    0.000109  0.000047  ...  0.000012  7.582901e+06  1.734087e+09
11  1546.311126    0.000106  0.000046  ...  0.000012  7.610660e+06  1.734087e+09
12  1546.311405    0.000110  0.000049  ...  0.000012  7.600895e+06  1.734086e+09
